item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
"(-) Tăng, (+) giảm phải thu tiền lãi các tài sản tài chính",increase_decrease_in_receiables_interest_of_financial_assets,86086795.0,103219085.0,59484897.0,47852123.0
"(-) Tăng, (+) giảm các khoản phải thu các dịch vụ CTCK cung cấp",increase_decrease_in_service_related_receivables,-1746548.0,-159665.0,-2879330.0,2489470.0
"(-) Tăng, (+) giảm các khoản phải thu về lỗi giao dịch chứng khoán",increase_decrease_in_trading_error_receivables,,,,
"(-) Tăng, (+) giảm các khoản phải thu khác",increases_decreases_in_other_receivables,,,,
- Tăng (giảm) các tài sản khác,increase_decrease_in_other_assets,87729381.0,12079849.0,-103901146.0,101913637.0
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",increase_decrease_in_payables_other_than_interest_corporate_income_tax,10700210.0,-10533998.0,4324296.0,13776433.0
"- Tăng, giảm chi phí trả trước",increase_decrease_in_prepaid_expenses,2621663.0,13871580.0,-35534268.0,-4401546.0
- Thuế thu nhập doanh nghiệp đã nộp,corporate_income_tax_paid,-153546389.0,-150292017.0,-78029953.0,-329207669.0
- Tiền lãi vay đã trả,interest_paid,-816161303.0,-724992085.0,-629849979.0,-453800840.0
"(+) Tăng, (-) giảm phải trả cho người bán",increases_decreaese_in_trade_payables,-52866903.0,9776296.0,-82007684.0,-553314227.0
"(+) Tăng, (-) giảm phải trả Tổ chức phát hành chứng khoán",increases_decreaese_in_payable_securities_issuers,,,,
"(+) Tăng, (-) giảm các khoản trích nộp phúc lợi nhân viên",increases_decreases_in_employee_welfare_payables,,,,-140273.0
"(+) Tăng, (-) giảm thuế và các khoản phải nộp Nhà nước",increases_decreases_in_tax_and_other_payables_to_the_state_budget,12558790.0,5535104.0,-1738736.0,-192216770.0
"(+) Tăng, (-) giảm phải trả người lao động",increases_dcreases_in_payable_to_employees,-13742821.0,86027483.0,-12410667.0,-214689950.0
- Tăng/ giảm các khoản phải trả về lỗi giao dịch các TSTC,increase_decrease_in_payables_for_transaction_errors_of_financial_assets,,,,
"(+) Tăng, (-) giảm phải trả, phải nộp khác",increases_dcreases_in_other_payables,145081663.0,65609976.0,3923102.0,-119194100.0
"(+) Tăng, (-) giảm Thuế TNDN CTCK đã nộp",increases_dcreases_corporate_income_tax_paid,,,,
"- Tăng, giảm hàng tồn kho (Tăng/giảm chứng khoán tự doanh)",increase_decrease_in_inventories,,,,
- Tiền thu khác từ hoạt động kinh doanh,other_receipts_from_operating_activities,6170890.0,2439377.0,,
- Tiền chi khác cho hoạt động kinh doanh,other_payments_for_operating_activities,-386640.0,-1229413.0,-1026548.0,-1323486.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh chứng khoán,net_cash_flows_from_securities_trading_activities,-8790735982.0,-3384049094.0,-4355554387.0,3741888567.0
II. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,ii.cash_flow_from_investing_activities,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",n_1.payment_for_fixed_assets_constructions_and_other_long_term_assets,-59608859.0,-31302213.0,-7898483.0,-22377694.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",n_2.proceeds_from_disposals_of_fixed_assets_and_other_long_term_assets,2546190.0,,,685000.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",n_3.loans_purchases_of_other_entities_debt_instruments,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",n_4.receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,,,,
"5. Tiền chi đầu tư vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",n_5.payments_for_investment_in_other_entities,,,,
"6. Tiền thu thanh lý các khoản đầu tư vào công ty con, công ty liên doanh, liên kết và đầu tư khác",n_6.collections_on_investment_in_other_entities,,,,
7. Tiền thu về cổ tức và lợi nhuận được chia,n_7.dividends_interest_and_profit_received,,,,
8. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,n_8.purchases_of_minority_shares_of_subsidiaries,,,,
9. Tiền thu khác từ hoạt động đầu tư,n_9.other_receipts_from_investing_activities,,,,
10. Tiền chi khác từ hoạt động đầu tư,n_10.other_payments_for_investing_activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,net_cash_flows_from_investing_activities,-57062669.0,-31302213.0,-7898483.0,-21692694.0
III. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,iii.cash_flow_from_financing_activities,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",n_1.receipts_from_equity_issue_and_owners_capital_contribution,4006506240.0,4074440000.0,24001188.0,25000000.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu quỹ",n_2.payment_for_share_repurchases,,,,
3. Tiền vay gốc,n_3.short_term_and_long_term_borrowings,39299956000.0,28212221000.0,20322010000.0,15126047143.0
3.1. Tiền vay Quỹ Hỗ trợ thanh toán,n_3.1.borrowings_to_settlement_assistance_fund,,,,
3.2. Tiền vay khác,n_3.2.other_borrowings,39299956000.0,28212221000.0,20322010000.0,15126047143.0
4. Tiền chi trả nợ gốc vay,n_4_principal_repayments,-35809270000.0,-24737632000.0,-18096042143.0,-16579490000.0
4.1. Tiền chi trả gốc vay Quỹ Hỗ trợ thanh toán,n_4.1.principal_repayments_to_settlement_assistance_fund,,,,
4.2. Tiền chi trả nợ gốc vay tài sản tài chính,n_4.2.principal_repayments_to_financial_assets,,,,
4.3. Tiền chi trả gốc nợ vay khác,n_4.3.other_principal_repayments,-35809270000.0,-24737632000.0,-18096042143.0,-16579490000.0
5. Tiền chi trả nợ thuê tài chính,n_5.payments_to_settle_finance_leases,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",n_6.dividends_paid_profits_distributed_to_owners,-179471940.0,-177803580.0,-522119971.0,
7. Tiền thu khác từ hoạt động tài chính,n_7.other_receipts_from_financing_activities,,,,
8. Tiền chi khác từ hoạt động tài chính,n_8.other_payments_for_financing_activities,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,net_cash_flows_from_financing_activities,7317720300.0,7371225420.0,1727849074.0,-1428442857.0
IV. Lưu chuyển tiền thuần trong kỳ,iv.net_cash_flows_during_the_period,-1530078351.0,3955874114.0,-2635603796.0,2291753015.0
V. Tiền và tương đương tiền đầu kỳ,v.cash_and_cash_equivalents_at_begingning_of_the_period,4743771933.0,787897819.0,3423501615.0,1131748600.0
Tiền gửi ngân hàng đầu kỳ:,cash_at_bank,4743771933.0,787897819.0,3423501615.0,1131748600.0
- Tiền gửi ngân hàng cho hoạt động CTCK,cash_at_bank_for_securities_company_activities,4743771933.0,537897819.0,2313501615.0,1131748600.0
- Các khoản tương đương tiền,cash_equivalents,,250000000.0,1110000000.0,
- Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ (đầu kỳ),exchange_difference_due_to_re_valuation_of_ending_balances,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,exchange_difference_due_to_re_valuation_of_ending_balances_2,,,,
Tiền và tương đương tiền cuối kỳ,cash_and_cash_equivalents_at_end_of_period,3213693581.0,4743771933.0,787897819.0,3423501615.0
Tiền gửi ngân hàng cuối kỳ:,cash_at_bank_2,3213693581.0,4743771933.0,787897819.0,3423501615.0
- Tiền gửi ngân hàng cho hoạt động CTCK,cash_at_bank_for_securities_company_activities_2,3213693581.0,4743771933.0,537897819.0,2313501615.0
- Các khoản tương đương tiền,cash_equivalents_2,,,250000000.0,1110000000.0
- Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ (cuối kỳ),exchange_difference_due_to_re_valuation_of_ending_balances_3,,,,
"PHẦN LƯU CHUYỂN TIỀN TỆ HOẠT ĐỘNG MÔI GIỚI, ỦY THÁC CỦA KHÁCH HÀNG",phan_luu_chuyen_tien_te_hoat_dong_moi_gioi_uy_thac_cua_khach_hang,,,,
"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",i.luu_chuyen_tien_hoat_dong_moi_gioi_uy_thac_cua_khach_hang,,,,
1. Tiền thu bán chứng khoán môi giới cho khách hàng,n_1.proceeds_from_sale_of_brokerage_securities_to_customers,462418176691.0,313150903168.0,224803526248.0,215091700374.0
2. Tiền chi mua chứng khoán môi giới cho khách hàng,n_2.money_spent_on_buying_brokerage_securities_for_customers,-514483731642.0,-338605010238.0,-253901091021.0,-283568027342.0
3. Tiền thu bán chứng khoán ủy thác của khách hàng,n_3.proceeds_from_sales_of_entrusted_securities_from_customers,,,,
4. Tiền chi bán chứng khoán ủy thác của khách hàng,n_4.cash_paid_for_selling_trust_securities_of_customers,,,,
5. Thu tiền từ tài khoản vãng lai của khách hàng,n_5.collect_money_from_a_customers_current_account,,,,
6. Chi tiền từ tài khoản vãng lai của khách hàng,n_6.spending_money_from_customers_current_accounts,,,,
7. Thu vay Quỹ Hỗ trợ thanh toán,n_7.collection_of_borrowing_from_payment_support_fund,,,,
8. Chi trả vay Quỹ Hỗ trợ thanh toán,n_8.loan_payment_to_the_payment_support_fund,,,,
9. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,n_9.receive_deposits_to_pay_for_securities_transactions_of_customers,52987076216.0,25182264017.0,29627666836.0,67269386371.0
10. Tiền gửi ký quỹ của NĐT tại VSD,n_10.margin_deposit_of_investors_at_vsd,-605870987.0,228266086.0,44554554.0,306517360.0
11. Chi trả thanh toán giao dịch chứng khoán của khách hàng,n_11.payment_for_customers_securities_transactions,,,,
12. Nhận tiền gửi của Nhà đầu tư cho hoạt động ủy thác đầu tư của khách hàng,n_12.receive_investors_deposits_for_the_clients_investment_trust_activities,,,,
