symbol,organ_name
GVT,CTCP Giấy Việt Trì
MGC,CTCP Địa chất mỏ - TKV
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông
GEG,CTCP Điện Gia Lai
SWC,Tổng Công ty cổ phần Đường sông Miền Nam
SLD,CTCP Địa ốc Sacom
PSL,CTCP Chăn nuôi Phú Sơn
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận
TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin
NTH,CTCP Thủy điện Nước Trong
CVT,CTCP CMC
POV,CTCP Xăng dầu Dầu khí Vũng Áng
SAM,CTCP SAM Holdings
MTH,CTCP Môi trường Đô thị Hà Đông
SDV,CTCP Dịch vụ Sonadezi
KHG,CTCP Tập đoàn Khải Hoàn Land
NWT,CTCP Vận tải Newway
BAX,CTCP Thống Nhất
FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội
SMT,CTCP Sametel
FIT,CTCP Tập đoàn F.I.T
DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk
NQB,CTCP Cấp nước Quảng Bình
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy
CNG,CTCP CNG Việt Nam
LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng
NBC,CTCP Than Núi Béo - Vinacomin
HAM,CTCP Vật tư Hậu Giang
HMD,CTCP Hóa chất Minh Đức
SC5,CTCP Xây dựng Số 5
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
S12,CTCP Sông Đà 12
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang
TD6,CTCP Than Đèo Nai - Cọc Sáu - TKV
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng
ATG,CTCP ATG Planet
ELC,CTCP Công Nghệ - Viễn Thông Elcom
SDN,CTCP Sơn Đồng Nai
SFN,CTCP Dệt lưới Sài Gòn
NNT,CTCP Cấp nước Ninh Thuận
LSS,CTCP Mía Đường Lam Sơn
SIV,CTCP SIVICO
PRC,CTCP Logistics Portserco
VRC,CTCP Bất động sản và Đầu tư VRC
FRT,CTCP Bán lẻ Kỹ thuật số FPT
SKH,CTCP Nước giải khát Sanest Khánh Hòa
