item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",n_3.2.dividends_interest_income_from_demand_deposits,15882767.0,14501410.0,6597152.0,7268433.0
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",n_3.3.gains_from_disposal_investments_in_subsidiaries_associates_joint_ventures,,,,
3.4. Doanh thu khác về đầu tư,n_3.4.other_income_about_investment,146108.0,14999696.0,,
Cộng doanh thu hoạt động tài chính (41->44),total_financial_income_41_44,23169869.0,50633206.0,23696152.0,35548433.0
IV. CHÍ PHÍ TÀI CHÍNH,financial_expenses,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,n_4.1.realized_and_unrealized_loss_from_changes_in_foreign_exchange_rates,6342969.0,14645504.0,131085812.0,116511866.0
4.2. Chi phí lãi vay,n_4.2.borrowing_costs,801899019.0,764124675.0,562553033.0,477360036.0
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",n_4.3.loss_from_disposal_investments_in_subsidiaries_associates_joint_ventures,,,,
4.4. Chi phí đầu tư khác,n_4.4.other_investment_expenses,45457959.0,18733784.0,46522321.0,106578174.0
Cộng chi phí tài chính (51->54),total_financial_expenses_51_54,853699947.0,797503963.0,740161166.0,700450076.0
V. CHI PHÍ BÁN HÀNG,selling_expenses,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,vi.general_and_administrative_expenses,144888169.0,144700755.0,122388199.0,76767476.0
VII. KẾT QUẢ HOẠT ĐỘNG,vii.net_profit_from_securities_business_20_50_40_60_61_62,1613802763.0,1086551801.0,570010229.0,1016042437.0
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,other_income_and_expenses,,,,
8.1. Thu nhập khác,n_8.1.other_incomes,17431762.0,3094146.0,132390.0,44543029.0
8.2. Chi phí khác,n_8.2.other_expenses,2014978.0,308842.0,3979.0,846753.0
Cộng kết quả hoạt động khác,other_profit,15416784.0,2785304.0,128411.0,43696276.0
"Lãi/lỗ từ công ty liên doanh, liên kết",share_of_associates_and_joint_ventures_result,,,,
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,ix.profit_before_tax,1629219548.0,1089337105.0,570138640.0,1059738713.0
9.1. Lợi nhuận đã thực hiện,n_9.1.realised_profit,1638084275.0,1091784272.0,580710420.0,1319786023.0
9.2. Lợi nhuận chưa thực hiện,n_9.2.unrealised_profit,-8864727.0,-2447167.0,-10571780.0,-260047310.0
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,corporate_income_tax,287265041.0,178644992.0,78233981.0,190760528.0
10.1. Chi phí thuế TNDN hiện hành,n_10.1.current_corporate_income_tax_expenses,306186312.0,178605980.0,64320455.0,250981079.0
10.2. Chi phí thuế TNDN hoãn lại,n_10.2.deferred_income_tax_expenses,-18921271.0,39012.0,13913526.0,-60220552.0
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,xi.net_profit_after_tax,1341954507.0,910692113.0,491904659.0,868978186.0
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,n_11.1.profit_after_tax_for_shareholders_of_the_parents_company,1341954507.0,910692113.0,491904659.0,868978186.0
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",n_11.2.profit_after_tax_taken_from_funds,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,n_11.3.profit_after_tax_attribute_to_non_controling_interest,,,,
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,other_comprehensive_income_after_tax,321705215.0,764703826.0,577605440.0,-635523329.0
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,n_12.1.gains_loss_from_revaluation_of_held_to_maturity_investments,,,,-635523329.0
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,n_12.2.gains_loss_from_revaluation_of_availables_for_sale_financial_assets,321705215.0,764703826.0,577605440.0,-635523329.0
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",n_12.3.other_total_gains_loss_are_dividend_from_investments_in_subsidiaries_associates_joint_ventures,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,n_12.4.gains_loss_from_revaluation_of_derivative_financial_tools,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,n_12.5.gains_loss_from_realized_and_unrealized_loss_from_changes_in_foreign_exchange_rates,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",n_12.6.gains_loss_from_investments_in_subsidiaries_associates_joint_ventures_are_not_yet_divided,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",n_12.7.gains_loss_from_revaluation_of_derivative_tools,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",n_12.8.gains_loss_from_revaluation_fixed_assets_by_reasonable_value_model,,,,
Tổng thu nhập toàn diện,total_other_comprehensive_income,321705215.0,764703826.0,577605440.0,-635523329.0
Thu nhập toàn diện phân bổ cho chủ sở hữu,other_comprehensive_income_attribute_to_the_parent_companys_owners,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,other_comprehensive_income_attribute_to_non_controling_interest,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,xiii.net_income_appropriated_to_ordinary_shareholders,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu) (VNÐ),n_13.1.earning_per_share_vnd,1854.0,1540.0,1127.0,1999.0
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),n_13.2.diluted_earning_per_share,2.0,2.0,1.0,2.0
